coffee_id,Name,Roaster,Farmer,Region,Country,Elevation,Process,Roast,Varietals,Roaster Notes
316,Colombia La Palma Cristian Monroy,Onyx Coffee,El Volcan,Cundinamarca,Colombia,1550,Lactic,,Castillo,"Strawberry, Vanilla Yogurt, Organge Peel, Black Tea"
317,Decaf Colombia Medellin,Onyx Coffee,,,Colombia,1550,Washed | Swiss Water,,Caturra | Bourbon | Castillo,"Apple, Chocolate, Sweet Cream, Pecan"
318,Hambela Buku,Onyx Coffee,,OROMIA,Ethiopia,,Natural,,Heirloom,"Raspberry, coconut water, bergamot, slick"
319,Peru Maria Rojas,Onyx Coffee,Maria Rojas,Cajamarca,Peru,1850,Washed,,Caturra,"Apple, dates, honey, tangerine, white tea"
320,Southern Weather,Onyx Coffee,,La Colmenita | La Garita | Finca Santa Rosa,Blend - Guatemala | El Salvador,1850,Washed,,,"Milk Chocolate, Plum, Candied Walnuts, Juicy & Citrus Finish"
321,,Origen,,Oxapampa,Peru,,,,,
322,Suke Quto,Panther,,Guji,Ethiopia,2200,Washed,,Heirloom,"Lemon, Peach, Orange Zest, Guava"
323,Guatemala Pulcal,Parlor Coffee,Maria Zelaya,Antigua,Guatemala,1750,Washed,,Bourbon | Caturra,"Rose, caramel, fresh cream"
324,Posholl Cafe,Posholl Cafe,Rafael Huaman Quispe,Oxapampa,Peru,1500,,,Arabica,
325,El Socorro Maracaturra,PT's Coffee Roasting Co.,Juan Diego De La Cerda,El Socorro,Guatemala,5750,Washed,Light-Medium,Maracaturra,"Red Grape, Navel Orange, Cocoa Powder"
326,MWP Decaf Huerta del Rio,PT's Coffee Roasting Co.,Jose Vasquez,Oaxaca,Mexico,6150,Mountain Water Process,Medium,Mixed,"Raisin, Graham Crackers, Cocoa"
327,Sun Liner Blend,Push & Pour,,,Blend - Peru | Guatemala | Sumatra | Honduras,,,,,"Chocolate Cake, Green Apple, Salted Caramel, Coco Powder"
328,Integral Blend,Q.E.D Coffee,,Narino | Santa Isabel | San Lorenzo,Blend - Colombia | Guatamala,,,,,
329,"Peru - Flor de Selva, La Coipa, San Ignacio",Q.E.D Coffee,,Cajamarca,Peru,1950,Washed,,Red Caturra | Bourbon | Pache,Marshmellow
330,Reina y Pavel,Quentin,,Guerrero,Mexico,1350,Natural,,Bourbon | Caturra,"Frese, cacao, orange peel"
331,Decaf Colombia Huila,Quills,,Huila,Colombia,,,Swiss Water,,"Nougat, Lemon, Brown Sugar"
332,Guatemala Huehuetenango,Quills,,,Guatemala,,Washed,,,"Red Apple, Caramel, Peach"
333,Honduras: Las Flores,Quills,,"Montesillos, Marcala, H",Honduras,,Washed,,Catuai,"Caramel, grape & milk chocolate"
334,Horse Feathers,Quills,,Huehuetenango | Shakkiso,Blend - Guatemala | Ethiopia,,Washed,,,"Syrupy cane sugar, apple, cooked peach and lavender"
